analysis_set	group	dataset_id	tissue	score_name	score_column	score_role	n_samples	n_positive	n_negative	positive_label	negative_label	mean_positive	mean_negative	delta_positive_minus_negative	auc_positive_direction	ci95_low	ci95_high	n_bootstrap_valid	small_sample_flag	interpretation
main_oa_vs_normal	GSE55235	GSE55235	synovium	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	20	10	10	OA	normal	0.761222521583505	-0.9457410888832799	1.706963610466785	0.9400000000000001	0.8	1.0	2000	False	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
main_oa_vs_normal	GSE55457	GSE55457	synovium	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	20	10	10	OA	normal	0.1433498309865144	-0.14031629408855117	0.2836661250750656	0.56	0.29	0.8200000000000001	2000	False	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
main_oa_vs_normal	GSE114007	GSE114007	cartilage	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	38	20	18	OA	normal	0.5580044565954992	-0.6200049517727771	1.1780094083682764	0.9666666666666667	0.9083333333333333	1.0	2000	False	Secondary component; retained because direction is less stable than the matrix axis.
main_oa_vs_normal	GSE143514	GSE143514	cartilage	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	8	5	3	OA	normal	-0.14176678598468784	0.23627797664114567	-0.37804476262583353	0.33333333333333337	0.0	1.0	2000	True	Secondary component; retained because direction is less stable than the matrix axis.
main_oa_vs_normal	GSE169077	GSE169077	cartilage	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	11	6	5	OA	normal	0.5814506060366865	-0.6977407272440238	1.2791913332807103	0.9333333333333333	0.7333333333333333	1.0	2000	True	Secondary component; retained because direction is less stable than the matrix axis.
main_oa_vs_normal	GSE185064	GSE185064	meniscus	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	8	4	4	OA	normal	-0.028193651916463155	0.028193651916463107	-0.05638730383292626	0.5625	0.0625	1.0	2000	True	Secondary component; retained because direction is less stable than the matrix axis.
main_oa_vs_normal	GSE55235	GSE55235	synovium	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	20	10	10	OA	normal	0.309600177930881	-0.6304814933875711	0.9400816713184521	0.92	0.73	1.0	2000	False	Secondary component; retained because direction is less stable than the matrix axis.
main_oa_vs_normal	GSE55457	GSE55457	synovium	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	20	10	10	OA	normal	-0.16590900859021274	-0.01523157910828644	-0.1506774294819263	0.44	0.18	0.72	2000	False	Secondary component; retained because direction is less stable than the matrix axis.
main_oa_vs_normal	GSE114007	GSE114007	cartilage	MSP_paracrine	score_MSP_paracrine	context_control	38	20	18	OA	normal	-0.06213988777554944	0.49126654197283304	-0.5534064297483825	0.06944444444444445	0.005555555555555558	0.16111111111111112	2000	False	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE143514	GSE143514	cartilage	MSP_paracrine	score_MSP_paracrine	context_control	8	5	3	OA	normal	-0.3462247507742605	0.5770412512904326	-0.9232660020646931	0.2666666666666667	0.0	0.6666666666666667	2000	True	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE169077	GSE169077	cartilage	MSP_paracrine	score_MSP_paracrine	context_control	11	6	5	OA	normal	0.017765372306179767	-0.021318446767416652	0.03908381907359642	0.6	0.23333333333333334	1.0	2000	True	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE185064	GSE185064	meniscus	MSP_paracrine	score_MSP_paracrine	context_control	8	4	4	OA	normal	0.09057622374143315	-0.09057622374143323	0.18115244748286638	0.625	0.25	1.0	2000	True	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE55235	GSE55235	synovium	MSP_paracrine	score_MSP_paracrine	context_control	20	10	10	OA	normal	-0.22762538333027335	0.4549699568987765	-0.6825953402290499	0.16999999999999998	0.019999999999999997	0.38000000000000006	2000	False	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE55457	GSE55457	synovium	MSP_paracrine	score_MSP_paracrine	context_control	20	10	10	OA	normal	-0.33206283039382095	0.45296714118469233	-0.7850299715785133	0.10999999999999999	0.0	0.30000000000000004	2000	False	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE114007	GSE114007	cartilage	MSP_angiogenic	score_MSP_angiogenic	context_control	38	20	18	OA	normal	-0.08854116249694031	0.5428235138854887	-0.631364676382429	0.02500000000000001	0.0	0.07777777777777777	2000	False	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE143514	GSE143514	cartilage	MSP_angiogenic	score_MSP_angiogenic	context_control	8	5	3	OA	normal	-0.27093853044232163	0.45156421740387015	-0.7225027478461918	0.33333333333333337	0.0	1.0	2000	True	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE169077	GSE169077	cartilage	MSP_angiogenic	score_MSP_angiogenic	context_control	11	6	5	OA	normal	-0.07493758737771462	0.0899251048532566	-0.16486269223097122	0.4333333333333333	0.09999999999999998	0.8	2000	True	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE185064	GSE185064	meniscus	MSP_angiogenic	score_MSP_angiogenic	context_control	8	4	4	OA	normal	0.1401580109636812	-0.14015801096368125	0.28031602192736244	0.6875	0.25	1.0	2000	True	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE55235	GSE55235	synovium	MSP_angiogenic	score_MSP_angiogenic	context_control	20	10	10	OA	normal	-0.29541395913718194	0.5365550197634136	-0.8319689789005955	0.029999999999999995	0.0	0.11000000000000001	2000	False	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE55457	GSE55457	synovium	MSP_angiogenic	score_MSP_angiogenic	context_control	20	10	10	OA	normal	-0.1624081641947061	0.26108551079491626	-0.42349367498962237	0.30000000000000004	0.07999999999999999	0.5700000000000001	2000	False	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE114007	GSE114007	cartilage	MSP_inflammatory	score_MSP_inflammatory	context_control	38	20	18	OA	normal	-0.3911945023191536	0.43466055813239296	-0.8258550604515466	0.09722222222222224	0.01944444444444445	0.20555555555555555	2000	False	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE143514	GSE143514	cartilage	MSP_inflammatory	score_MSP_inflammatory	context_control	8	5	3	OA	normal	-0.3346102869428199	0.5576838115713653	-0.8922940985141852	0.0	0.0	0.0	2000	True	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE169077	GSE169077	cartilage	MSP_inflammatory	score_MSP_inflammatory	context_control	11	6	5	OA	normal	-0.03345789674804497	0.0401494760976545	-0.07360737284569946	0.5666666666666667	0.19999999999999998	0.9333333333333333	2000	True	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE185064	GSE185064	meniscus	MSP_inflammatory	score_MSP_inflammatory	context_control	8	4	4	OA	normal	0.004630427616560115	-0.004630427616560007	0.009260855233120122	0.5625	0.125	1.0	2000	True	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE55235	GSE55235	synovium	MSP_inflammatory	score_MSP_inflammatory	context_control	20	10	10	OA	normal	-0.47479115405271816	0.8772127075512424	-1.3520038616039605	0.0	0.0	0.0	2000	False	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE55457	GSE55457	synovium	MSP_inflammatory	score_MSP_inflammatory	context_control	20	10	10	OA	normal	-0.5312654375749087	0.6539005233720028	-1.1851659609469114	0.039999999999999994	0.0	0.15000000000000002	2000	False	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
main_oa_vs_normal	GSE114007	GSE114007	cartilage	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	38	20	18	OA	normal	-0.16914832500708307	0.4895298849285051	-0.6586782099355881	0.03611111111111112	0.0	0.09999999999999998	2000	False	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
main_oa_vs_normal	GSE143514	GSE143514	cartilage	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	8	5	3	OA	normal	-0.3081394155388548	0.5135656925647575	-0.8217051081036123	0.2666666666666667	0.0	0.8	2000	True	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
main_oa_vs_normal	GSE169077	GSE169077	cartilage	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	11	6	5	OA	normal	-0.0713318948017289	0.08559827376207443	-0.15693016856380332	0.4666666666666667	0.1333333333333333	0.8333333333333334	2000	True	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
main_oa_vs_normal	GSE185064	GSE185064	meniscus	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	8	4	4	OA	normal	0.07816465116358773	-0.07816465116358776	0.15632930232717548	0.625	0.25	1.0	2000	True	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
main_oa_vs_normal	GSE55235	GSE55235	synovium	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	20	10	10	OA	normal	-0.2519343948007801	0.5066928906455974	-0.7586272854463776	0.0	0.0	0.0	2000	False	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
main_oa_vs_normal	GSE55457	GSE55457	synovium	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	20	10	10	OA	normal	-0.22540682297851466	0.3499532644714817	-0.5753600874499963	0.2	0.0	0.45999999999999996	2000	False	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
