analysis_set	group	dataset_id	tissue	score_name	score_column	score_role	n_samples	n_positive	n_negative	positive_label	negative_label	mean_positive	mean_negative	delta_positive_minus_negative	auc_positive_direction	ci95_low	ci95_high	n_bootstrap_valid	small_sample_flag	interpretation
exploratory_gse98918_oa_vs_apm	pooled	pooled	meniscus	MSP_paracrine	score_MSP_paracrine	context_control	24	12	12	OA	APM	-0.2567436764037102	0.2567436764037085	-0.5134873528074186	0.2152777777777778	0.041666666666666664	0.42361111111111116	2000	False	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
exploratory_gse98918_oa_vs_apm	pooled	pooled	meniscus	MSP_angiogenic	score_MSP_angiogenic	context_control	24	12	12	OA	APM	-0.3211586524830155	0.3211586524830143	-0.6423173049660298	0.22916666666666669	0.06249999999999999	0.4444444444444444	2000	False	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
exploratory_gse98918_oa_vs_apm	pooled	pooled	meniscus	MSP_inflammatory	score_MSP_inflammatory	context_control	24	12	12	OA	APM	0.025229458316724258	-0.025229458316724213	0.05045891663344847	0.513888888888889	0.27083333333333337	0.75	2000	False	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
exploratory_gse98918_oa_vs_apm	pooled	pooled	meniscus	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	24	12	12	OA	APM	-0.33053829184470096	0.33053829184469974	-0.6610765836894007	0.18750000000000003	0.02777777777777778	0.38888888888888895	2000	False	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
exploratory_gse191157_aged_vs_young	pooled	pooled	meniscus	Fibrocartilage_matrix	score_Fibrocartilage_matrix	primary	8	4	4	aged	young	0.30078304758755503	-0.30078304758755636	0.6015660951751114	0.875	0.5	1.0	2000	True	Primary direction-stable matrix-remodeling diagnostic/stratification score.
exploratory_gse191157_aged_vs_young	pooled	pooled	meniscus	MSP_interface_matrix_fibrotic	score_MSP_interface_matrix_fibrotic	secondary	8	4	4	aged	young	-0.17580674288758052	0.1758067428875803	-0.35161348577516083	0.3125	0.0	0.75	2000	True	Secondary interface composite: fibrocartilage matrix plus fibrotic remodeling.
exploratory_gse191157_aged_vs_young	pooled	pooled	meniscus	Fibrotic_remodeling	score_Fibrotic_remodeling	secondary_component	8	4	4	aged	young	-0.47658979047513556	0.47658979047513667	-0.9531795809502722	0.0	0.0	0.0	2000	True	Secondary component; retained because direction is less stable than the matrix axis.
exploratory_gse191157_aged_vs_young	pooled	pooled	meniscus	MSP_paracrine	score_MSP_paracrine	context_control	8	4	4	aged	young	0.2205121710568132	-0.2205121710568136	0.4410243421136268	0.9375	0.7468750000000002	1.0	2000	True	Context-dependent MSP paracrine axis; not treated as a standalone diagnostic marker.
exploratory_gse191157_aged_vs_young	pooled	pooled	meniscus	MSP_angiogenic	score_MSP_angiogenic	context_control	8	4	4	aged	young	0.2678945567457083	-0.2678945567457078	0.5357891134914161	0.875	0.5	1.0	2000	True	Context-dependent MSP angiogenic axis; not treated as a standalone diagnostic marker.
exploratory_gse191157_aged_vs_young	pooled	pooled	meniscus	MSP_inflammatory	score_MSP_inflammatory	context_control	8	4	4	aged	young	-0.18740043731373113	0.18740043731373035	-0.3748008746274615	0.125	0.0	0.5	2000	True	Context-dependent MSP inflammatory axis; not treated as a standalone diagnostic marker.
exploratory_gse191157_aged_vs_young	pooled	pooled	meniscus	MSP_paracrine_consensus	score_MSP_paracrine_consensus	context_control	8	4	4	aged	young	0.163010952116502	-0.16301095211650204	0.32602190423300403	0.75	0.25	1.0	2000	True	Consensus paracrine/angiogenic projection retained as a context-dependent comparator.
