scope	tissue	n_cohorts	random_effect_smd	random_effect_se	ci95_low	ci95_high	z_score	random_effect_p	tau2	i2_percent	positive_cohorts	negative_cohorts	direction_consistency	contributing_datasets	axis	fdr_bh	evidence_grade
tissue	meniscus	3	0.1256728103594725	0.7145638919729473	-1.2748724179075044	1.5262180386264492	0.1758734408094474	0.8603933712546488	1.1123110436343362	73.30775456630411	2	1	0.6666666666666666	GSE185064,GSE191157,GSE98918	MSP_angiogenic_K14P9	0.9034130398173812	not_supported
tissue	synovium	3	-0.5097799251813278	0.6633923708483067	-1.8100289720440088	0.7904691216813533	-0.768444057518255	0.442223414184963	1.1368225422987008	86.80447662525779	1	2	0.6666666666666666	GSE55235,GSE55457,GSE89408	MSP_angiogenic_K14P9	0.6488784466398554	heterogeneous_or_inconsistent
tissue	cartilage	3	-1.2866413028462451	0.6371817205873584	-2.5355174751974676	-0.037765130495022614	-2.019269011138942	0.04345926693011334	0.8147386556845522	68.86049649235851	0	3	1.0	GSE114007,GSE143514,GSE169077	MSP_inflammatory_K14P10	0.15210743425539666	weak_trend
tissue	meniscus	3	-0.10067689333266541	0.32073105529308904	-0.7293097617071199	0.5279559750417891	-0.31389817627939176	0.7535983755507366	0.0	0.0	2	1	0.6666666666666666	GSE185064,GSE191157,GSE98918	MSP_inflammatory_K14P10	0.8741107943855593	not_supported
tissue	synovium	3	-1.4275850961780223	1.1703897522404176	-3.721549010569241	0.8663788182131962	-1.219751876197881	0.22255894947079458	3.8332738081328968	94.08128040286373	1	2	0.6666666666666666	GSE55235,GSE55457,GSE89408	MSP_inflammatory_K14P10	0.42488526717151687	heterogeneous_or_inconsistent
tissue	cartilage	3	-1.1513474752944552	0.6748376726292513	-2.4740293136477876	0.17133436305887728	-1.7061102573136775	0.08798755315955721	0.9889698037238955	73.87715878736158	1	2	0.6666666666666666	GSE114007,GSE143514,GSE169077	MSP_paracrine_K12P8	0.2053042907056335	weak_trend
tissue	meniscus	3	0.17338206741920642	0.6538001450847738	-1.1080662169469502	1.454830351785363	0.26519123423676383	0.7908621473012203	0.8705854922874826	68.43964380693127	2	1	0.6666666666666666	GSE185064,GSE191157,GSE98918	MSP_paracrine_K12P8	0.8741107943855593	not_supported
tissue	synovium	3	-0.48728799860217	0.7429642202585781	-1.943497870308983	0.9689218731046431	-0.6558700746485159	0.5119077242034749	1.4705497042454527	89.3604422360835	1	2	0.6666666666666666	GSE55235,GSE55457,GSE89408	MSP_paracrine_K12P8	0.6718788880170607	heterogeneous_or_inconsistent
tissue	cartilage	3	-1.3982630490614072	0.7958885120070839	-2.9582045325952917	0.1616784344724771	-1.7568579367168473	0.07894202684746007	1.5077024332430429	80.46981843172986	0	3	1.0	GSE114007,GSE143514,GSE169077	MSP_paracrine_consensus_K12P8_K14P9	0.2053042907056335	heterogeneous_or_inconsistent
tissue	meniscus	3	-0.06044128108772045	0.6495101889123194	-1.3334812513558663	1.2125986891804255	-0.0930567096860119	0.9258585088110843	0.8658925465544688	68.90428251762354	2	1	0.6666666666666666	GSE185064,GSE191157,GSE98918	MSP_paracrine_consensus_K12P8_K14P9	0.9258585088110843	not_supported
tissue	synovium	3	-0.5366168906466678	0.7319621955627342	-1.9712627939496268	0.8980290126562912	-0.7331210462776914	0.4634846047427539	1.4203571394434333	88.97334555286415	1	2	0.6666666666666666	GSE55235,GSE55457,GSE89408	MSP_paracrine_consensus_K12P8_K14P9	0.6488784466398554	heterogeneous_or_inconsistent
