ligand	receptor	pathway	reference_name	top_ligand_state	top_receptor_state	ligand_state_support	receptor_state_support	pair_context_score	context_call
INHBA	ACVR1B	activin	GSE220243_meniscus	fibrochondrocyte_core	endothelial	0.2457783483237294	0.019840260020598802	0.06983055447421348	ligand_or_receptor_sparse
INHBA	ACVR1B	activin	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.4(CFD)	0.6020274989935681	0.0018291223802640686	0.033184062016931255	ligand_or_receptor_sparse
INHBA	ACVR2A	activin	GSE220243_meniscus	fibrochondrocyte_core	immune_myeloid	0.2457783483237294	0.020020443960638373	0.07014692900871344	ligand_or_receptor_sparse
INHBA	ACVR2A	activin	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.4(CFD)	0.6020274989935681	0.009790368210590218	0.07677285254598636	ligand_or_receptor_sparse
INHBA	ACVR2B	activin	GSE220243_meniscus	fibrochondrocyte_core	endothelial	0.2457783483237294	0.010899594333141083	0.05175793941607506	ligand_or_receptor_sparse
INHBA	ACVR2B	activin	HRA001986_chondrocyte	Ch.3(PRG4)	PCL.1	0.6020274989935681	0.0016256607283419947	0.03128406083768208	ligand_or_receptor_sparse
BMP2	BMPR2	BMP	GSE220243_meniscus	mural_smooth_muscle	endothelial	0.10732985214832562	0.43441469565376917	0.2159297688036064	context_weak_supported
BMP2	BMPR2	BMP	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.5(cycling)	0.08367785673179245	0.10493610346680098	0.09370607361258673	context_weak_supported
MIF	CXCR2	MIF_CXCR2	GSE220243_meniscus	fibrochondrocyte_core	immune_myeloid	0.8309141418604672	0.00022846604854444315	0.013778086611375246	ligand_or_receptor_sparse
MIF	CXCR2	MIF_CXCR2	HRA001986_chondrocyte	Ch.5(cycling)	Ch.1(CHAD)	1.0373272541675558	0.0	0.0	receptor_not_detected
FGF2	FGFR1	FGF	GSE220243_meniscus	fibrochondrocyte_core	outer_fibrous_like	0.3529581672066751	0.5067533749662521	0.422921674135868	context_supported
FGF2	FGFR1	FGF	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.5(cycling)	0.2926318429088051	0.5303806555708012	0.39396226809538976	context_supported
BMP2	BMPR1A	BMP	GSE220243_meniscus	mural_smooth_muscle	outer_fibrous_like	0.10732985214832562	0.059295080863833886	0.07977551167017548	context_weak_supported
BMP2	BMPR1A	BMP	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.2(FNDC1)	0.08367785673179245	0.036248492753264236	0.05507446035460595	ligand_or_receptor_sparse
IL11	IL6ST	IL11	GSE220243_meniscus	fibrochondrocyte_core	endothelial	0.005282897414906441	0.7560843757163389	0.063200602797149	ligand_or_receptor_sparse
IL11	IL6ST	IL11	HRA001986_chondrocyte	Ch.5(cycling)	Ch.4(CFD)	0.058410157237257565	0.24306052268659917	0.11915201781041841	context_weak_supported
FGF2	FGFR2	FGF	GSE220243_meniscus	fibrochondrocyte_core	fibrochondrocyte_core	0.3529581672066751	0.022868045097543893	0.08984132281544324	ligand_or_receptor_sparse
FGF2	FGFR2	FGF	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.1(CHAD)	0.2926318429088051	0.0034995385368030932	0.032001193905150986	ligand_or_receptor_sparse
IL11	IL11RA	IL11	GSE220243_meniscus	fibrochondrocyte_core	outer_fibrous_like	0.005282897414906441	0.10327271293615616	0.023357635757944216	ligand_or_receptor_sparse
IL11	IL11RA	IL11	HRA001986_chondrocyte	Ch.5(cycling)	Ch.2(FNDC1)	0.058410157237257565	0.12415786389089346	0.08515914720163131	context_weak_supported
IL6	IL6ST	IL6	GSE220243_meniscus	mural_smooth_muscle	endothelial	0.04956512692275742	0.7560843757163389	0.19358568657494837	context_weak_supported
IL6	IL6ST	IL6	HRA001986_chondrocyte	Ch.4(CFD)	Ch.4(CFD)	0.053301106426029664	0.24306052268659917	0.11382176763556617	context_weak_supported
SPP1	CD44	SPP1_CD44	GSE220243_meniscus	endothelial	immune_myeloid	0.049715798917020444	0.8464089273276303	0.2051338490659	context_weak_supported
SPP1	CD44	SPP1_CD44	HRA001986_chondrocyte	Ch.5(cycling)	Ch.5(cycling)	0.0248844973871488	1.0473851928043327	0.16144241726906147	ligand_or_receptor_sparse
LIF	IL6ST	LIF	GSE220243_meniscus	t_nk	endothelial	0.005539286884188561	0.7560843757163389	0.06471605879335833	ligand_or_receptor_sparse
LIF	IL6ST	LIF	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.4(CFD)	0.026831391338491117	0.24306052268659917	0.08075674586771275	ligand_or_receptor_sparse
IL6	IL6R	IL6	GSE220243_meniscus	mural_smooth_muscle	immune_myeloid	0.04956512692275742	0.1787338680530117	0.09412208484432812	context_weak_supported
IL6	IL6R	IL6	HRA001986_chondrocyte	Ch.4(CFD)	PCL.1	0.053301106426029664	0.022008627088236556	0.034250316417821544	ligand_or_receptor_sparse
SPP1	ITGB1	SPP1_integrin	GSE220243_meniscus	endothelial	mural_smooth_muscle	0.049715798917020444	0.9766029898216851	0.22034654039429769	context_weak_supported
SPP1	ITGB1	SPP1_integrin	HRA001986_chondrocyte	Ch.5(cycling)	Ch.2(FNDC1)	0.0248844973871488	0.9761500753049303	0.15585571532154555	ligand_or_receptor_sparse
SPP1	ITGAV	SPP1_integrin	GSE220243_meniscus	endothelial	outer_fibrous_like	0.049715798917020444	0.301523839839622	0.12243569165139112	context_weak_supported
SPP1	ITGAV	SPP1_integrin	HRA001986_chondrocyte	Ch.5(cycling)	Ch.3(PRG4)	0.0248844973871488	0.2911103331438741	0.08511248042731895	ligand_or_receptor_sparse
LIF	LIFR	LIF	GSE220243_meniscus	t_nk	endothelial	0.005539286884188561	0.2979248740926892	0.04062377810513396	ligand_or_receptor_sparse
LIF	LIFR	LIF	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.3(PRG4)	0.026831391338491117	0.03202178334884831	0.029311925907202475	ligand_or_receptor_sparse
FGF1	FGFR1	FGF	GSE220243_meniscus	fibrochondrocyte_core	outer_fibrous_like	0.009892842122325617	0.5067533749662521	0.0708041745485166	ligand_or_receptor_sparse
FGF1	FGFR1	FGF	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.5(cycling)	0.030397460696903265	0.5303806555708012	0.12697332449026927	ligand_or_receptor_sparse
CXCL12	CXCR4	CXCL12_CXCR4	GSE220243_meniscus	outer_fibrous_like	t_nk	0.5314569280943787	0.7692757757378891	0.6394035819660997	context_supported
CXCL12	CXCR4	CXCL12_CXCR4	HRA001986_chondrocyte	Ch.4(CFD)	Ch.5(cycling)	1.0035701960748884	0.0019617828191049918	0.04437101270452979	ligand_or_receptor_sparse
CXCL12	ACKR3	CXCL12_ACKR3	GSE220243_meniscus	outer_fibrous_like	inflammatory_like	0.5314569280943787	0.703602953982733	0.6115019742582961	context_supported
CXCL12	ACKR3	CXCL12_ACKR3	HRA001986_chondrocyte	Ch.4(CFD)	Ch.3(PRG4)	1.0035701960748884	0.41119015394735414	0.6423847627559435	context_supported
CXCL8	CXCR2	CXCL8	GSE220243_meniscus	immune_myeloid	immune_myeloid	0.6752469925835937	0.00022846604854444315	0.012420588238368283	ligand_or_receptor_sparse
CXCL8	CXCR2	CXCL8	HRA001986_chondrocyte	Ch.5(cycling)	Ch.1(CHAD)	0.010714657953878302	0.0	0.0	receptor_not_detected
POSTN	ITGAV	POSTN_integrin	GSE220243_meniscus	endothelial	outer_fibrous_like	0.20865139617273223	0.301523839839622	0.2508253778266873	context_supported
POSTN	ITGAV	POSTN_integrin	HRA001986_chondrocyte	Ch.2(FNDC1)	Ch.3(PRG4)	0.7884669846121707	0.2911103331438741	0.47909381812270846	context_supported
CXCL8	CXCR1	CXCL8	GSE220243_meniscus	immune_myeloid	outer_fibrous_like	0.6752469925835937	1.7909093725873127e-06	0.001099684576516991	ligand_or_receptor_sparse
CXCL8	CXCR1	CXCL8	HRA001986_chondrocyte	Ch.5(cycling)	Ch.1(CHAD)	0.010714657953878302	0.0	0.0	receptor_not_detected
TNFSF12	TNFRSF12A	TWEAK_FN14	GSE220243_meniscus	mural_smooth_muscle	fibrochondrocyte_core	0.22379767899715888	0.19835106758943138	0.21069055164653996	context_supported
TNFSF12	TNFRSF12A	TWEAK_FN14	HRA001986_chondrocyte	PCL.2	Ch.5(cycling)	0.14459010071178505	0.809306872335193	0.34207859064502316	context_supported
CCL2	CCR2	CCL2_CCR2	GSE220243_meniscus	mural_smooth_muscle	t_nk	0.49911586949445735	0.004518629854553841	0.047490208135775244	ligand_or_receptor_sparse
CCL2	CCR2	CCL2_CCR2	HRA001986_chondrocyte	PCL.1	Ch.5(cycling)	0.48355882459730537	0.00018935436379832353	0.009568906603718518	ligand_or_receptor_sparse
POSTN	ITGB3	POSTN_integrin	GSE220243_meniscus	endothelial	endothelial	0.20865139617273223	0.012062781211376338	0.05016887622301176	ligand_or_receptor_sparse
POSTN	ITGB3	POSTN_integrin	HRA001986_chondrocyte	Ch.2(FNDC1)	PCL.2	0.7884669846121707	0.0007646602951283438	0.02455421342972521	ligand_or_receptor_sparse
CCN2	ITGB1	CCN2_integrin	GSE220243_meniscus	outer_fibrous_like	mural_smooth_muscle	0.2764434187810651	0.9766029898216851	0.5195916370555981	context_supported
CCN2	ITGB1	CCN2_integrin	HRA001986_chondrocyte	Ch.1(CHAD)	Ch.2(FNDC1)	0.0	0.9761500753049303	0.0	ligand_not_detected
CCN1	ITGAV	CCN1_integrin	GSE220243_meniscus	mural_smooth_muscle	outer_fibrous_like	0.28516776015096257	0.301523839839622	0.29323178210961814	context_supported
CCN1	ITGAV	CCN1_integrin	HRA001986_chondrocyte	Ch.1(CHAD)	Ch.3(PRG4)	0.0	0.2911103331438741	0.0	ligand_not_detected
CCN2	ITGAV	CCN2_integrin	GSE220243_meniscus	outer_fibrous_like	outer_fibrous_like	0.2764434187810651	0.301523839839622	0.28871141496182556	context_supported
CCN2	ITGAV	CCN2_integrin	HRA001986_chondrocyte	Ch.1(CHAD)	Ch.3(PRG4)	0.0	0.2911103331438741	0.0	ligand_not_detected
