item_id	target	status	detail
A2_discussion_sender_label	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
A3_bulk_reframing	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
A4_methods_meta_analysis	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
A5_results_subtype_relabel	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
A5_discussion_subtype_relabel	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
A5_methods_subtype_relabel	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
A6_cnmf_gene_selection	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
A6_program_rank_repro	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
C1_abstract_results	docs/manuscript/15_msp_integrated_manuscript_draft.md	not_found	find string absent; left unchanged
C1_abstract_results_bold	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
C2_validation_roadmap_trim	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
C4_conclusion_positive_signal	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
D3_gene_set_citation_anchor	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	replacement text already present
D1_reference_todo	docs/manuscript/15_msp_integrated_manuscript_draft.md	not_found	find string absent; left unchanged
D2_novelty_paragraph	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	insert after cellular senescence paragraph
A6_supplementary_methods_stub	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_applied	supplementary methods reproducibility stub
C3_remove_submission_caution	docs/manuscript/15_msp_integrated_manuscript_draft.md	already_absent	removed sections=0
text_file_no_change	docs/manuscript/15_msp_integrated_manuscript_draft.md	verified	no text update needed
E1_cover_letter_alignment	docs/manuscript/21_jot_cover_letter_draft.md	already_applied	replacement text already present
C3_remove_submission_caution	docs/manuscript/21_jot_cover_letter_draft.md	already_absent	removed sections=0
text_file_no_change	docs/manuscript/21_jot_cover_letter_draft.md	verified	no text update needed
A1_direction_of_effect	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
A2_discussion_sender_label	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
A3_bulk_reframing	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
A4_methods_meta_analysis	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
A5_results_subtype_relabel	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
A5_discussion_subtype_relabel	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
A5_methods_subtype_relabel	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
A6_cnmf_gene_selection	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
A6_program_rank_repro	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
C1_abstract_results	docs/manuscript/22_jot_anonymized_manuscript_draft.md	not_found	find string absent; left unchanged
C1_abstract_results_bold	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
C2_validation_roadmap_trim	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
C4_conclusion_positive_signal	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
D3_gene_set_citation_anchor	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
D1_reference_todo	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	replacement text already present
D2_novelty_paragraph	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	insert after cellular senescence paragraph
A6_supplementary_methods_stub	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_applied	supplementary methods reproducibility stub
C3_remove_submission_caution	docs/manuscript/22_jot_anonymized_manuscript_draft.md	already_absent	removed sections=0
text_file_no_change	docs/manuscript/22_jot_anonymized_manuscript_draft.md	verified	no text update needed
B2_network_edges	results/tables/manuscript_figure4_network_edges.tsv	applied	rows_before=14; rows_after=14; dropped_VEGFA_KDR=0
B3_axis_summary	results/tables/manuscript_figure4_axis_summary.tsv	applied	added integer display score and triage-score caveat
B4_figure3_plan	results/tables/manuscript_main_figure1_3_panel_plan.tsv	applied	updated Figure 3B units and subtype labels
