target_context	gene	rank	weighted_delta_s1_minus_s2	stouffer_z	fdr	n_datasets	n_tissues	selection_reason	receiver_use
bulk_S1_high_receiver_response	NDP	18	1.0616634448267068	3.716687592310174	0.25064131523369193	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	C6ORF195	19	1.1496796042508313	3.6938481534577137	0.25064131523369193	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	HIST1H2AH	20	1.2648373182187949	3.693733831193731	0.25064131523369193	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SLC20A1	21	1.0507082613261005	3.6422050929026426	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	CACNA1D	22	0.8164589560067922	3.6389023466859514	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	INHBA	23	1.081811083523694	3.6111148944506124	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	NDUFA4L2	24	1.0594458854869406	3.6045388474340445	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ANPEP	25	1.059346451843082	3.5943935554562865	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	COX6B1	26	1.3710799799032072	3.571228271554036	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SLC16A10	27	1.0142882779385338	3.5397601016670626	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	PKDREJ	28	1.3339793872108212	3.5387002397063014	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	CGREF1	29	0.9664589577855265	3.531871288026575	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	MRPL41	30	1.0652573367990161	3.5070819898809575	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ARHGAP44	31	1.0255297692744227	3.485539811573482	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	MPZ	32	0.8658635673938114	3.4680756861468724	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	LCMT2	33	0.9573732185627134	3.458135304733119	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	GDF5	34	1.0922447940131597	3.450980809100965	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	STEAP1	35	0.9690455043626532	3.4423730068666565	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	GFPT2	36	1.0782434354236208	3.43800732150648	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	GPR64	37	0.8640151797403838	3.4270503153429037	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	CRLF1	38	0.8896540062136338	3.424978704218568	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	STEAP3	39	1.2597917171584856	3.4155781768763935	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	HTRA1	40	1.2721300470419552	3.414795572568525	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	NT5E	41	1.4732650628626023	3.409727771005271	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	CEBPZ	42	1.3492719102590849	3.404083380741374	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	PGM3	43	1.077364777144656	3.380852453263521	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	PDGFRA	44	1.0790964410536876	3.3733783150202847	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	HIF1A	45	1.1457901137277797	3.3649084277458448	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ENG	46	1.3599526132391042	3.357118786983446	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ZNF259P1	47	1.3383378910655859	3.35186253756752	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	HIST1H3B	48	0.8197612915775755	3.325908744675493	0.26369505936611715	5	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	RGS16	49	0.9372355008399177	3.3193465856899262	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SLC11A1	50	1.2999919553187582	3.315756406207233	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	IGFBP3	51	0.7819373748478177	3.3100073404992822	0.26369505936611715	5	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	LGI2	52	0.9890814153430127	3.280592090362378	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	CFB	53	0.9831419750414477	3.279384280267515	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	KCNN4	54	1.1174240389980379	3.277178861297477	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	MRPS24	55	1.2593386857324034	3.26921041825058	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	LOXL2	56	0.8581755665369281	3.259125286969854	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	LDHB	57	1.3644102121520134	3.2469354437585234	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	INE1	58	0.9619095563985552	3.246927536521708	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	CDC45	59	1.0677700135223358	3.2389847510589584	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	LRRC15	60	0.9077669070700265	3.2260252207900773	0.26369505936611715	5	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ALDOC	61	1.4202553762404888	3.2051945608841015	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	HSPA5	62	1.4519803675455336	3.188030353333906	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	RCAN1	63	0.914178676272862	3.1859540671765174	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ENC1	64	0.9505270456585427	3.175667112367803	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ENPP1	65	0.85135441356049	3.1711121329937715	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	VAV3	66	1.1717358966316553	3.168772721933476	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	GLDN	67	1.183748766863146	3.166613460391587	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	TNFSF11	68	0.8893652155945188	3.1661949336781783	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	MT1F	69	0.7926391527057229	3.1619373066909797	0.26369505936611715	5	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	NDNF	70	0.7992409791918037	3.1578068930643965	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	BGN	71	0.9033554896922864	3.1551336830553844	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ADAMTSL2	72	1.1227179187050456	3.1422134738337997	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	PAN2	73	0.8913304274153215	3.1399268635363007	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	RAB5B	74	1.0728660664554024	3.130477273790301	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	CEP55	75	0.9271543364660134	3.120784378157198	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ITGAX	76	0.8318403738435916	3.1142626096439523	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	DMBT1	77	0.9216036845813261	3.10917438135851	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	BIRC7	78	0.7680494065040796	3.1087366980627706	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ADAM8	79	0.6982865539575739	3.097851186037143	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	TBC1D2	80	0.963846674172796	3.0970834544731787	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ARFGEF2	81	1.3072451159011853	3.0919664920323924	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	PFDN5	82	1.261297577966712	3.0919664920323924	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	UBC	83	1.2709336945470895	3.0832767881103793	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	HSPA8	84	1.1622352474047524	3.081004993314996	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SCPEP1	85	1.099958310241199	3.080398717496314	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	GJA1	86	0.8799367390404442	3.0799357879828806	0.26369505936611715	4	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	RNFT2	87	1.1270883438152555	3.0754247204734892	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	HIST1H2BM	88	0.7952393296239345	3.0736023579454144	0.26369505936611715	5	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SELM	89	1.012397760022948	3.0733565464972665	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ARF4	90	1.2638623941506928	3.0677970967745565	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	PCDHGA1	91	0.920938993159707	3.062884949083403	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	C1QTNF1	92	1.1651636949940603	3.0609143915675596	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	PHACTR1	93	0.8347525633961966	3.058359245640316	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	PKM	94	1.3453676693917476	3.045375328433979	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	MELK	95	0.7292326246524788	3.037749533552377	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	RUNX1-IT1	96	0.727240306335609	3.034499270990396	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	FN1	97	0.9235926737322364	3.0185079613978476	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	C5AR2	98	0.7674793681400763	3.0084306530205813	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SNED1	99	1.1328814074659228	3.0074939483734893	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SERPINH1	100	0.9202628357478589	3.0013766644850377	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	LOC100287846	101	1.1056503555111545	2.9967261064890445	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	PLK1	102	0.8896025867020675	2.995613150431845	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	C10ORF105	103	1.1328404776575325	2.993964598166396	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SEMA5A	104	0.7483653470390055	2.9909513012561244	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	DNAH17	105	0.6843942150335847	2.990944663675676	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	FICD	106	0.9868419866826519	2.9850617631646528	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	FAT3	107	0.9690010502141368	2.9839109132228865	0.26369505936611715	3	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	AGPAT4	108	0.8206254864138631	2.9835890549556217	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SPOCK1	109	0.9672127464071643	2.9787433849001754	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	NAALADL1	110	0.5108291245949578	2.9720253025001533	0.26369505936611715	3	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	DDX17	111	0.6904430044187084	2.9709829660657707	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ZHX1-C8ORF76	112	0.9771755226435264	2.9696407696790197	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	GOLM1	113	1.0141620659522377	2.969380843864368	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	HIST1H2AL	114	0.624994923760877	2.9684843840721875	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	TTC39A	115	1.0644879166162708	2.968248121084424	0.26369505936611715	2	1	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	GAA	116	0.8097482083804635	2.9641016555283146	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ERP27	117	1.0075700278821216	2.962472281736661	0.26369505936611715	3	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SAR1A	118	1.0374938095677488	2.9569613004285107	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ANGPTL4	119	0.8313773933481592	2.9554180285215446	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	TOP2A	120	0.7869955715242426	2.9552551773803457	0.26369505936611715	5	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	SPAG5	121	0.7146020185779557	2.954473202014288	0.26369505936611715	3	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	FAM156A	122	0.9353903721153761	2.9456508349408668	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	PCOLCE	123	0.8097105562620758	2.945222813626588	0.26369505936611715	4	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	ANGPTL6	124	0.792680197616962	2.943350264083888	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	CAPN14	125	0.8855220826742698	2.9409691921832604	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	MEF2A	126	1.0752226951974737	2.9405840814078807	0.26369505936611715	2	2	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
bulk_S1_high_receiver_response	TGFBI	127	0.8923239726824355	2.931198768362283	0.26369505936611715	4	3	candidate_S1_high	Use as NicheNet receiver target gene candidate for testing MSP LR phase 1/2 ligands against S1-high bulk response.
